"IBOV","USIM5","CSNA3","SBSP3"
-1.7314265156,-9.3961708395,4.3395022336,-13.948715002
-0.43933916068,8.0949284786,13.761467889,13.259259259
1.778901402,18.796992481,6.9354838712,-5.8701740269
-11.448830277,-26.582278481,-25.060382265,-5.9978954753
-0.32131381649,2.2413793104,4.6594982079,-11.492537313
8.2071223906,8.600337268,4.1415718479,12.984822934
5.6175524873,34.00621118,16.129883844,4.4925373135
2.090795129,10.404181141,3.0916117299,-0.49278674487
1.9383414463,-4.3196544276,-2.0948180814,-3.8110959592
-0.83028608306,-2.8668171556,-5.0900900901,-13.445754365
9.0057261843,27.701603532,22.92358804,25.844827586
4.2502387774,-0.73533544637,-1.9498069498,9.950878519
-7.0468773859,-1.0194624652,2.8745816106,-12.511908542
15.560574948,29.026217228,28.612440191,14.740124306
-5.4337396496,-12.374227234,-5.8035714284,-17.032932034
-6.6403607666,-13.04347826,-12.843601895,0.95969289832
1.4652014652,-9.8,-9.0536553614,9.0369678212
-0.6188757091,-15.521064301,-11.241217798,-0.35915492963
3.955929903,12.257217847,18.205804749,4.9491508784
7.687581599,14.238952536,3.4151785714,1.3630136986
12.619455142,12.256750005,11.741851931,6.3517805258
-4.4011018586,-12.350674373,-16.457407765,-8.571065506
5.7066207399,13.651351945,6.3583815028,-1.4351634407
4.8220328363,7.5435203094,9.3478260869,17.046833122
14.727245553,33.027455425,29.204771372,17.197452229
0.59402845091,-3.1945788965,4.0802980862,-7.0108695652
-1.7068117068,16.920635093,6.4279011574,11.630625365
6.3555637533,-0.93457943922,7.7149155033,6.8062827224
-9.496320888,-5.0314465409,-5.0080137303,1.8553793945
0.27374760466,2.8476821193,4.5103395687,-0.34448818888
1.2203112203,-3.4127495172,0.28776978415,7.1604938272
-2.2790409149,-10.373333333,-8.511308421,8.3041474654
0.59891808341,-0.83471236658,-0.95846645363,10.620372734
7.7176328568,12,7.2580645161,-0.95391953218
6.7979216545,0.48076923067,-2.7067669173,1.359223301
6.0623405117,10.047846889,-0.30911901076,14.173717612
0.37775729088,1.4341165175,6.8062015505,-7.8498293516
-1.6778297977,10.23690773,7.5627812454,5.0037037037
4.356146906,12.860536138,19.905533064,-2.4725759234
6.8814950659,-2.3517345166,0.16882386044,-0.52441229645
6.7652585996,10.880829015,14.805913138,12.36502454
4.0636718451,2.8037383177,0.69619614569,8.7685239112
-0.38608618916,5.1909090909,8.9278557112,7.6630176105
0.8397622827,3.3804334587,2.419280655,5.658709107
10.66676428,9.5234020708,15.726603197,-3.8702928869
