"Data","ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
2003-02-01,-2.7267819454,-1.9261500284,2.2793391059,3.1655515875,3.8243406696,-10.266300756,-9.3812329833,-8.2462287114,-13.402067497,-12.44466808,-30.1345271,-13.649025069,4.8264954867,1.3384334434,-1.6216200541,1.6773517458,-27.500000466,-7.7026986922,-10.145232298,-10.509775982,7.3593027237,2.3131683214,-14.438506502,2.2972982986,7.4380131418,-6.0414952929
2003-03-01,26.234625682,9.9536994718,10.642817193,14.498912045,9.6874908442,29.065466824,11.277528376,4.5569615777,8.5119116717,13.03371325,6.2901126254,38.709677419,-7.0719195167,1.3207560034,16.834713389,18.712927339,-16.172410551,9.6626073391,12.536759855,6.0085846892,4.8387075454,4.736497466,65.505989427,21.003958252,-12.5,9.6595330739
2003-04-01,-3.333339956,6.3157898039,4.5771267767,2.2838131745,20.607790156,57.672451222,21.931909627,15.617434765,22.819527673,23.260438057,2.0531410843,36.637890648,17.92920759,27.569642463,7.2009770563,5.0282997989,25.503910252,6.7139196415,7.5215468729,26.364863461,6.0266253087,17.15154857,-12.30769644,17.03057255,-8.1915648703,11.381176261
2003-05-01,13.793111244,2.9683231407,0.54377115157,-0.62823599919,20.472443081,7.1428628447,-1.7857142858,3.1413658005,6.1172717442,12.183064654,6.0355058034,-6.1818181819,10.490880882,0.90361603397,12.72727115,3.6967901427,-6.5880065926,7.0110686043,5.8127912635,7.2956143978,-0.86655287205,-4.1984732281,2.1929890401,1.5858215676,6.1227032606,6.8891366678
2003-06-01,-0.66666889434,-3.8443096819,-8.3041569384,-9.2793137907,-14.444447826,3.8333318433,-12.892558624,-16.142136654,-14.710958942,-12.260385287,17.760749931,39.534883721,8.6798717304,3.044777486,-9.0556154607,-4.6780404277,-9.1228045867,-4.1379336652,-3.5802223088,-2.0350795921,22.727279832,-5.1792814494,-9.8712496529,20.752977079,-3.4593748562,-3.3455033157
2003-07-01,2.5015221641,0,7.9767913219,14.341403267,8.4797599195,14.499730399,2.8462984152,-1.937038306,-0.96105705525,1.7296317594,0.95694146694,-5.9846577951,3.6210912911,7.6548574574,11.111111111,11.875621449,-6.1776098984,9.1726662387,11.001961309,10.183477691,15.384609669,-5.0420159518,0,19.321524352,22.500001816,4.6176379896
2003-08-01,1.6300176298,12.000000476,3.5629982893,4.956347916,11.584254031,41.35514362,19.520287092,2.4691315439,12.359554837,10.067109395,11.374405569,17.199391172,31.31103205,21.420766337,14.113798873,6.2419408849,20.576135315,8.2372259019,7.6106181186,14.096918728,22.8395064,15.1327386,4.2857138105,11.329400722,9.6303691666,11.811951956
2003-09-01,5.3254457694,7.1410728047,-6.6652797888,-8.764968699,3.8961093938,17.355364654,6.0512565005,9.2771062842,10,9.9593519328,-2.9787266508,-8.4415584415,-7.9332894806,-2.3852331039,-9.0012963112,-7.295982596,52.559725747,0.22831283532,-0.24670676485,-2.7567608121,3.7185959902,19.907761124,-0.45661386839,14.705882352,5.6046921602,5.5094240148
2003-10-01,-4.4943836853,-5.5718104371,7.9805811638,5.4394510529,17.499994419,12.676059743,23.668121112,17.420070296,48.14049667,39.186692938,16.666670571,-0.70921985816,3.3434614219,6.4601854659,12.06225972,13.051424038,-0.67114190651,2.0501162599,3.8746882357,1.7152415556,14.321701543,12.375344019,27.522931766,17.641025641,12.361423113,12.317301686
2003-11-01,11.747058823,13.454545454,22.435867235,17.986688078,30.319148936,17.625,10.875706214,19.624413146,14.337517433,10.783532536,9.022556391,0.87280070384,17.393387638,13.612334801,6.25,5.5477498192,17.995495496,10.438720301,10.946405902,14.138496369,13.578572639,-1.9108280256,12.949640287,21.621621621,-0.76923076931,12.240017795
2003-12-01,12.112284387,1.7628205127,14.151233141,10.912885345,-2.0408163265,42.082890542,15.568975566,6.7503924647,18.321541839,8.3672980101,34.196381344,15.751445086,24.489795918,29.313687476,16.518708612,15.833232433,52.510020996,18.117977528,14.23444976,15.424204888,16.940298508,25.702898338,-3.5031847134,26.56011262,31.395348837,10.171926869
2004-01-01,-3,2.2047244094,-7.7094557854,-5.2324410577,-15,0.37397157794,-5.6872037914,-15.808823529,-27.628865979,-21.902654867,-7.2538860103,56.179775281,2.1173724575,7.3193329217,-3.2258064515,-0.75765660004,-9.5118898621,1.0701545778,2.4738219896,-13.948715002,4.3395022336,3.5342465753,0.12223653539,-9.3961708395,-7.9646017699,-1.7314265156
