"ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
4.4682190057,6.1515408104,10.708354583,10.124959325,10.887243652,6.6452304394,7.8295472364,13.228775973,8.527131783,6.4291678264,9.6111111112,12.280580591,17.647058824,18.974358974,6.3861665893,6.7678451833,16.072300928,2.5641025641,4.959621775,5.5052264808,12.340764331,5.9179265658,15.731166912,11.750881316,9.4685077074,6.8482263496
7.9518072289,-4.3920728442,-7.9387539838,-9.0222666398,-8.1029912914,5.6951423785,8.4118926759,6.2979585928,3.7566137564,6.8776150629,-8.0587937151,2.4606299212,0.25000000005,2.6939655172,-8.7295954579,-11.500606714,-3.6195286195,-5.15625,-5.7322730284,0.72655217955,-8.5754783841,8.4483670313,7.55372977,1.261829653,-5.6848030018,-1.6297846502
-11.861881224,-18.543417367,-12.736427521,-6.9374634038,-2.5934940683,-14.770206022,-6.6220735786,-2.3290656497,-11.958184599,-12.282848054,-6.5049614113,-8.6839577328,-15.561097256,-16.579223505,-3.3762091811,0.52245748084,-5.2838427947,-10.543657331,-10.931458699,-3.6885245901,-13.333333333,-7.1987779264,-3.7014925372,-15.160955348,-11.85597772,-8.4291068513
-26.569435637,-18.019257221,-31.030563502,-31.926807755,-40.182422052,-35.961323912,-36.1747851,-25.393947845,-30.900666088,-27.391910739,-43.75,-18.114874816,-40.532544379,-41.361916772,-26.855713094,-27.809910896,-55.50945136,-47.918968692,-44.790844515,-33.429787234,-37.567084079,4.4374517756,-22.876627402,-39.779681763,-2.4599413225,-29.904329943
18.264248705,-4.865771812,2.7886180002,1.5173102924,2.1871638581,22.764227642,6.8462401796,1.6822429909,1.6345347864,6.9535151748,-9.3291404613,0.51387461463,16.815920398,10.752688172,2.6225769669,-1.3217768148,17.720207254,31.89533239,29.020729092,5.9455005761,28.366762178,-8.1491785247,2.5723472669,-1.5306315249,3.7945395652,10.252197487
-9.3464768165,10.052910052,1.4703747049,-0.94167534144,8.2105263158,31.220435194,13.445378151,16.360294117,18.06185567,10.272988505,-17.341040462,8.4100204498,14.395229982,19.805825243,-1.5555555556,1.2524719843,22.535211268,11.742627346,12.686980609,35.528942116,15.30486401,3.5330207249,6.7398119121,28.125,18.145341061,8.5667023866
17.921868707,13.301282051,6.6169695654,9.3396112354,4.2477302206,-16.294160058,2.037037037,-3.9178515008,8.2780300383,5.016286645,13.146853146,-0.75453902364,19.210722264,18.47649919,8.4841628959,10.532030401,19.109195402,7.1976967371,5.9488692232,6.2223858615,3.4883720929,3.3746262281,4.2584434656,18.211382114,5.5094339623,8.7562965811
7.4453551913,-1.6973125885,9.4333531159,8.5030950932,4.4479004664,-1.8087855297,8.8929219601,9.1417296942,24.229782881,24.745777384,-5.933250927,9.6935138989,8.9943785135,9.9863201094,11.261730969,5.7204639275,13.992762364,2.640759305,3.0182837878,5.459272097,14.700374532,9.7282019387,10.915492957,11.829436038,8.5658082975,8.2650594146
18.40432295,-11.43884892,-8.1239273465,-7.4966930451,-1.4475320774,-6.6228070175,-6.6989364703,-6.9297981319,-3.871142393,-6.6579973993,-3.5479632063,-5.9784798148,9.3982808023,9.3283582089,-11.437437767,-12.179644938,-19.947089947,-1.6740088106,-1.3963963964,-21.528348398,24.163265306,-7.7245053272,-9.0793650793,24.846248462,-1.6965903476,-3.4428266259
2.5503355704,1.868399675,-5.2240827441,-6.3287311794,-8.9876893101,-2.348520432,-3.3588298903,0.37228876645,-14.615601239,-13.095569796,-14.986376021,-5.348346235,8.9575694081,6.9397042094,-6.4824654622,-4.3977055448,-4.1639127561,-11.424731182,-10.415714938,-1.9895287958,8.4812623274,-8.309417583,-8.7988826816,-1.1822660098,3.1852320375,-4.7960257283
6.0732984295,-2.8708133972,0.92886302391,3.9651527079,0.60769750162,9.8605098605,1.4851485148,-0.40316078048,2.4406332454,-0.6412311639,-3.3653846153,-1.1400247831,4.8557692309,4.255319149,3.2954545455,4.4251723371,33.034482759,-3.894790086,-3.4166241712,-9.1880341881,24.484848485,-3.2645658581,-7.7791618472,8.6739780658,2.4361360176,-0.68811494893
