,ALPA4,ABEV3,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,CPLE6,ELET3,ELET6,EMBR3,EGIE3,GGBR4,GOAU4,ITSA4,ITUB4,LIGT3,PETR3,PETR4,SBSP3,CSNA3,VIVT3,TIMS3,USIM5,VALE3,IBOV
EMBR3,0.17037147604968858,0.25235145950375054,0.23222766805337153,0.2523517903228638,0.20087012545325736,0.2595738462189638,0.13015097532172756,0.16510508313577635,0.08575347771346946,0.12147493809626206,1.0,0.2175298581765062,0.21951185439460102,0.14678406014885165,0.2814133849060665,0.24942146469365029,0.10892109847393487,0.1477219554084218,0.1452985794189093,0.29392268466985766,0.18191795892562906,0.21668089835709614,0.26417371256982836,0.11925271838357801,0.2219242028035279,0.34853112422080834
EGIE3,0.17683290152341763,0.1836111495190858,0.21582979645578512,0.22270830766023078,0.2010119789064202,0.25028356028840915,0.23053424869989866,0.23514922468914376,0.18114885656720264,0.17551847356118155,0.2175298581765062,1.0,0.19462740918822555,0.2030457230504824,0.23764095845773212,0.22886217320313437,0.21833236412939613,0.15115381739226216,0.1737562680926297,0.23783901583211842,0.16296610679939458,0.19388140961945455,0.1725529405617369,0.18195750143237457,0.01640057136450281,0.280980973236638
GGBR4,0.2785786825850556,0.2775402147197611,0.4245264732731388,0.46504475226973807,0.5671810966894032,0.30989493930172707,0.42648266319895634,0.39473182420451985,0.37570307512046697,0.36852984662868266,0.21951185439460102,0.19462740918822555,1.0,0.9207833496795838,0.5367836421117916,0.5023419173584667,0.3842623018471993,0.52586219142901,0.5777875250936512,0.42151370079138917,0.6263107729280329,0.3269740130207008,0.27069298704047506,0.7226685440272841,0.5571283680266923,0.6977087610579819
GOAU4,0.25289899901573576,0.22353063202608972,0.4196661325554313,0.44979087811821133,0.5485520782859503,0.3015442743419516,0.4407666472194024,0.40132604401477867,0.3617868729428336,0.35140094728795673,0.14678406014885165,0.2030457230504824,0.9207833496795838,1.0,0.48914539009401126,0.4748593293348015,0.4001658644648075,0.5164334475411669,0.5823467230348344,0.364517780315253,0.5764868771849259,0.28018655735727854,0.2724579886046718,0.7315524956977059,0.5839852618749147,0.6466876598613498
ITSA4,0.38621465551895584,0.3443464690560816,0.795381596694763,0.8608519211063894,0.721927970330596,0.22950110523347778,0.5674184501711842,0.5058925745412417,0.47842564949652405,0.4757158122266742,0.2814133849060665,0.23764095845773212,0.5367836421117916,0.48914539009401126,1.0,0.9450590794189341,0.3400367085159128,0.5445909667428018,0.5913989520654153,0.4666305023396839,0.42613492760603344,0.3186071654619901,0.36540682738635594,0.5137727218637678,0.3655958277473154,0.801450773072566
ITUB4,0.34810526234833583,0.28407912354707177,0.7788691716429613,0.843473175651823,0.6885476433081538,0.21722398486953573,0.5500000592109621,0.48951719700522184,0.46419728720132397,0.46055129231829556,0.24942146469365029,0.22886217320313437,0.5023419173584667,0.4748593293348015,0.9450590794189341,1.0,0.3005094661955713,0.566664080643503,0.6012563527271025,0.3979789536330998,0.4327582186356686,0.26524400986711466,0.35757391534424765,0.4880303074110622,0.3457149204431451,0.7760202792896578
LIGT3,0.19427557946219037,0.21392897569951552,0.3365267385764419,0.3444896989768845,0.37434455909855696,0.3466809366764794,0.4683419194384393,0.4249665465923158,0.4065383318435977,0.3895947991637274,0.10892109847393487,0.21833236412939613,0.3842623018471993,0.4001658644648075,0.3400367085159128,0.3005094661955713,1.0,0.3372320624551078,0.37720806704039533,0.36219274286208974,0.28174435186424446,0.36898423632828176,0.22458931646240748,0.4205021202149852,0.2795199803685895,0.5072094866941063
PETR3,0.32129696370324945,0.16547169030690173,0.5128975479774558,0.5607764163823613,0.6197148762041689,0.23323244949205843,0.39787464358633384,0.3907233375320016,0.4354403718999827,0.4172849134419266,0.1477219554084218,0.15115381739226216,0.52586219142901,0.5164334475411669,0.5445909667428018,0.566664080643503,0.3372320624551078,1.0,0.968271040494183,0.33857702750254737,0.5617759303030525,0.2573276306326232,0.3089310145429097,0.559879848882759,0.4519663786193794,0.7169969996256325
PETR4,0.3365830972391846,0.17691321184186343,0.5640207880902134,0.6149999991028994,0.6795844404050835,0.20649428218123136,0.4757774962529347,0.4205201313659499,0.46151865335118414,0.4396208330497571,0.1452985794189093,0.1737562680926297,0.5777875250936512,0.5823467230348344,0.5913989520654153,0.6012563527271025,0.37720806704039533,0.968271040494183,1.0,0.36461851280365887,0.5583564302869324,0.28530141051843694,0.33756531080608726,0.626687674921799,0.46541612881316247,0.746690095540465
SBSP3,0.3617061981020346,0.30233224344538595,0.4052112624717907,0.40743325249813034,0.4342852707222331,0.30354818698691427,0.41808099088644335,0.4261970278953827,0.3927342784625707,0.4073530446031893,0.29392268466985766,0.23783901583211842,0.42151370079138917,0.364517780315253,0.4666305023396839,0.3979789536330998,0.36219274286208974,0.33857702750254737,0.36461851280365887,1.0,0.3701275779335061,0.29734419145820074,0.16722212242877527,0.4370794526824055,0.19524202908478303,0.5789780069615208
CSNA3,0.27867258280611507,0.14674662559778948,0.40201792456031676,0.4362418852219282,0.5014856365471609,0.26374995747867935,0.2956954891258364,0.3165517512519763,0.3371167739348563,0.3556626410400493,0.18191795892562906,0.16296610679939458,0.6263107729280329,0.5764868771849259,0.42613492760603344,0.4327582186356686,0.28174435186424446,0.5617759303030525,0.5583564302869324,0.3701275779335061,1.0,0.245879203610696,0.22534081167451453,0.7143751548869565,0.6140284489338638,0.6431344765624788
VIVT3,0.3041779758597351,0.24117963265631792,0.265681075296793,0.26834632996414126,0.33479389135481785,0.25352281734670346,0.30969301075983785,0.324579468421035,0.20990265258556629,0.18537668680726188,0.21668089835709614,0.19388140961945455,0.3269740130207008,0.28018655735727854,0.3186071654619901,0.26524400986711466,0.36898423632828176,0.2573276306326232,0.28530141051843694,0.29734419145820074,0.245879203610696,1.0,0.24009678094994352,0.3244250786147814,0.23118808624658707,0.45168175095537577
TIMS3,0.30696868853232767,0.27046794314336625,0.3339972733448027,0.37851110125882226,0.2541815606000183,0.12128262032151231,0.2921318904068666,0.33663298835284794,0.1847771739612284,0.19278428093018848,0.26417371256982836,0.1725529405617369,0.27069298704047506,0.2724579886046718,0.36540682738635594,0.35757391534424765,0.22458931646240748,0.3089310145429097,0.33756531080608726,0.16722212242877527,0.22534081167451453,0.24009678094994352,1.0,0.2599095133063174,0.19330920778712668,0.4661827463088774
USIM5,0.2516284950727464,0.21443550007018286,0.47748726731683405,0.511044279970506,0.6061699741271321,0.2713319778538326,0.4680356859783864,0.4148571852212841,0.4049022960149638,0.3897312058386671,0.11925271838357801,0.18195750143237457,0.7226685440272841,0.7315524956977059,0.5137727218637678,0.4880303074110622,0.4205021202149852,0.559879848882759,0.626687674921799,0.4370794526824055,0.7143751548869565,0.3244250786147814,0.2599095133063174,1.0,0.5283722560952846,0.6975824352792553
VALE3,0.1906349585119692,0.15056494675094573,0.32905709840048236,0.3723491030001809,0.35760206969751807,0.18248573418506628,0.23482696994617072,0.2023133097584993,0.1857495948889227,0.20233614864809835,0.2219242028035279,0.01640057136450281,0.5571283680266923,0.5839852618749147,0.3655958277473154,0.3457149204431451,0.2795199803685895,0.4519663786193794,0.46541612881316247,0.19524202908478303,0.6140284489338638,0.23118808624658707,0.19330920778712668,0.5283722560952846,1.0,0.5362575344884785
IBOV,0.4547532457868849,0.3736747447416219,0.6993331652884002,0.7545663584276929,0.770689015793861,0.3968668394033606,0.5761615265394462,0.6073683577635339,0.5382744427330786,0.5381783379699876,0.34853112422080834,0.280980973236638,0.6977087610579819,0.6466876598613498,0.801450773072566,0.7760202792896578,0.5072094866941063,0.7169969996256325,0.746690095540465,0.5789780069615208,0.6431344765624788,0.45168175095537577,0.4661827463088774,0.6975824352792553,0.5362575344884785,1.0
